Лицевой счет,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
0034,"0,408","0,408","-0,316","0,500","0,366","0,134","0,300","1,900","0,300","0,300","0,300","0,000"
0035,"0,383","0,174","0,555","0,180","0,065","0,012","0,014","0,010","0,008","0,179","-0,167","0,170"
0036,"0,210","0,210","1,730","0,312","0,312","-0,183","0,333","-0,333","0,030","0,322","-0,322","0,298"
0037,"0,000","0,000","2,087","0,933","-0,656","0,557","0,557","0,557","-1,614","0,120","0,234","0,270"
0038,"0,462","0,462","-0,215","0,306","0,306","5,615","0,053","0,090","0,579","-0,529","0,185","0,213"
0039,"0,322","0,917","0,249","0,690","0,180","0,110","0,145","0,325","0,325","0,325","-0,362","0,302"
0040,"0,150","0,409","0,312","0,101","0,047","0,010","0,157","0,157","0,157","-0,414","0,118","0,118"
0041,"0,185","0,185","0,481","-1,035","0,112","0,112","0,112","0,050","0,050","0,481","0,481","-1,355"
0042,"0,120","-0,094","0,146","0,056","0,056","0,203","0,002","0,068","0,068","0,068","0,674","-0,752"
0043,"0,000","0,000","0,000","0,720","0,066","0,066","0,066","0,066","0,066","0,720","0,720","-2,491"
0044,"0,154","0,154","0,229","0,932","0,112","2,579","-0,004","0,010","0,109","0,109","0,109","0,632"
0045,"0,200","0,194","-0,184","0,443","0,110","0,110","-0,210","0,097","0,097","-0,194","0,000","0,000"
0046,"0,155","0,204","-0,024","0,589","0,078","0,062","0,147","0,147","0,147","-0,431","0,123","-0,122"
0047,"0,581","0,581","0,460","0,449","0,017","0,017","0,017","0,017","0,017","0,449","0,449","-1,329"
0048,"0,000","0,000","0,000","0,000","0,028","0,028","0,028","0,028","0,028","1,793","-1,932","0,000"
0049,"0,244","0,244","-0,488","0,198","0,198","0,198","0,033","-0,603","0,083","0,083","0,083","-0,250"
0050,"0,455","0,262","0,031","0,290","0,220","0,146","0,077","0,121","0,207","0,185","0,185","0,256"
0051,"0,476","0,704","0,704","-1,409","0,568","0,568","0,568","0,112","0,112","1,004","1,004","-2,026"
0052,"0,389","0,389","0,389","0,389","0,017","0,017","0,017","0,011","0,002","-0,002","0,000","0,000"
0053,"0,504","0,164","0,164","-0,328","0,594","0,184","0,184","0,184","0,140","2,061","-1,349","0,246"
0054,"0,231","1,775","0,233","0,360","0,325","0,325","0,325","0,033","0,033","-0,890","0,700","0,306"
0055,"0,954","0,954","0,954","0,954","0,028","0,028","0,028","0,028","0,028","0,954","0,954","-9,749"
0056,"0,216","-0,216","1,487","0,371","0,231","0,231","-0,257","0,237","0,237","0,237","0,225","0,197"
0057,"0,224","0,740","0,424","0,577","0,249","-0,115","0,238","-0,217","0,014","0,251","-0,204","0,406"
0058,"0,122","0,122","0,648","0,608","0,096","0,158","0,158","-0,316","0,143","0,143","-0,054","0,162"
0059,"0,138","0,012","0,150","0,200","0,100","0,100","0,130","0,118","-0,068","0,050","0,100","0,100"
0060,"0,008","0,008","0,008","-0,023","0,006","0,006","0,006","0,112","0,112","0,941","0,941","-2,122"
0061,"0,157","0,593","0,154","0,265","0,130","0,043","0,000","0,129","0,129","-0,258","0,117","0,217"
0062,"0,005","0,005","0,053","0,100","0,016","0,064","0,105","0,031","0,031","0,031","-0,071","0,031"
0063,"0,176","2,453","0,337","-0,337","0,100","0,289","0,289","0,289","0,083","0,950","0,950","-2,849"
0064,"0,090","0,603","0,121","0,208","0,074","0,126","0,079","0,079","0,079","0,603","0,603","-0,942"
0065,"0,518","0,518","0,518","0,271","0,120","0,120","0,120","0,033","0,033","0,518","0,518","-1,371"
0066,"0,108","0,108","0,108","-0,325","0,020","0,020","3,002","0,266","0,266","0,266","-0,501","0,257"
0067,"0,100","0,050","-0,399","0,499","0,050","0,010","0,013","0,027","0,020","0,010","0,010","0,010"
0068,"0,003","0,003","-0,004","-0,031","0,001","0,000","0,001","0,001","0,011","0,011","0,011","-0,024"
0069,"0,073","0,266","0,074","0,324","0,093","0,093","-0,154","0,088","0,088","0,088","-0,069","0,038"
0070,"0,029","0,136","0,117","0,184","0,001","0,002","0,003","0,000","0,000","0,000","0,000","0,000"
0071,"0,441","0,533","0,160","-0,058","0,093","0,093","0,196","0,080","-0,079","0,003","0,001","0,075"
0072,"0,957","0,957","0,957","0,957","-0,159","0,000","0,005","0,073","0,029","0,200","0,056","0,644"
0073,"0,248","0,248","0,248","0,248","0,017","0,017","0,017","0,017","0,017","0,248","0,248","-3,638"
0074,"0,301","0,128","0,185","0,184","0,175","0,135","-0,126","0,113","0,113","-0,114","0,122","0,095"
0075,"0,271","0,271","0,660","0,005","0,050","0,040","0,201","0,201","0,201","0,702","-1,294","0,010"
