Лицевой счет,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь
0054,"0,306","-0,131","0,160","0,160","-0,312","0,299","0,400","0,136","0,136"
0055,"0,000","0,178","0,178","0,178","0,028","0,028","0,028","0,028","0,028"
0056,"0,266","0,384","0,231","0,230","0,187","0,046","0,041","0,029","0,196"
0057,"0,347","0,471","0,288","0,143","0,031","0,031","0,009","0,002","0,149"
0058,"0,162","0,086","0,158","0,158","-0,265","0,058","0,381","0,081","0,081"
0059,"0,100","0,094","0,006","0,050","0,050","0,069","0,031","0,050","0,058"
0060,"0,439","0,034","0,034","-0,017","0,041","0,041","0,041","0,112","0,112"
0061,"0,518","0,168","0,168","-0,242","-0,095","0,075","0,075","0,075","0,028"
0062,"0,031","0,031","-0,054","0,010","0,021","-0,021","0,000","0,005","0,006"
0063,"0,976","0,284","0,284","-0,486","0,097","0,097","0,097","0,140","0,140"
0064,"0,099","0,099","-0,184","0,078","-0,070","0,056","0,056","0,056","0,028"
0065,"0,131","-0,131","0,116","0,116","-0,229","0,007","0,007","0,001","0,030"
0066,"0,257","0,257","-0,065","-0,255","0,316","0,316","0,316","0,033","-0,793"
0067,"0,020","0,010","0,010","0,010","0,010","0,010","0,017","0,017","0,017"
0068,"0,011","-0,010","0,011","-0,010","0,000","0,001","0,005","0,002","0,002"
0069,"0,092","0,110","0,075","0,040","0,020","0,046","-0,048","0,047","0,047"
0070,"0,000","0,000","0,000","0,000","0,000","0,000","0,002","0,004","0,000"
0071,"0,236","0,070","0,070","0,123","0,146","0,004","0,000","0,000","0,056"
0072,"0,123","0,049","0,116","0,069","0,112","1,293","0,231","-0,213","0,226"
0073,"0,000","0,000","0,000","0,012","0,000","0,000","0,000","0,017","0,017"
0074,"0,109","0,109","-0,211","0,059","0,059","0,059","-0,166","0,029","0,029"
0075,"0,005","0,005","0,095","-0,085","0,011","-0,010","0,007","0,056","0,056"
0076,"0,719","1,537","0,723","0,000","0,000","0,000","0,000","0,990","0,000"
0077,"0,410","0,480","0,405","0,306","-0,298","0,286","0,146","0,064","0,064"
0078,"0,009","0,009","0,009","-0,025","0,007","0,030","0,033","0,033","0,033"
0079,"0,366","0,489","0,311","0,207","0,156","0,055","0,032","0,024","0,195"
0080,"0,000","0,031","0,031","0,153","0,030","0,030","0,030","0,023","0,034"
0081,"0,656","0,258","0,258","0,258","-0,079","0,188","0,188","-0,124","0,191"
0082,"0,000","0,000","0,000","0,003","-0,004","0,000","0,000","0,000","0,028"
0083,"0,333","0,175","0,175","-0,295","0,167","0,167","0,167","0,083","0,083"
0084,"0,300","0,025","0,025","0,488","0,056","0,056","0,056","0,066","0,066"
0085,"0,000","0,000","0,000","0,001","0,000","0,000","0,000","0,017","0,017"
0086,"0,392","0,229","0,229","-0,282","0,124","0,124","0,124","0,017","0,017"
0087,"0,235","0,235","-0,014","0,202","-0,194","0,178","0,178","0,178","0,028"
0088,"0,209","0,386","0,192","-0,159","0,117","0,117","0,117","0,066","0,066"
0089,"0,200","0,100","0,100","0,046","0,050","0,112","0,112","-0,194","0,000"
0090,"0,142","0,093","-0,093","0,065","0,043","-0,043","0,030","-0,030","0,000"
